,ActBuyNum,ActSellNum,BMoney,CPrice,CTypeDes,ChgRadio,PBuy,RChange10DC,RChange10DO,RChange15DC,RChange15DO,RChange1DC,RChange1DO,RChange1M,RChange1Y,RChange20DC,RChange20DO,RChange2DC,RChange2DO,RChange30DC,RChange30DO,RChange3DC,RChange3DO,RChange3M,RChange5DC,RChange5DO,RChange6M,SCode,SMoney,SName,SalesCode,SalesName,TDate,code
0,11294509.19,1066703,11294509.19,8.48,日跌幅偏离值达到7%的前五只证券,-9.9788,10227806.19,,,,,,,32.70735524,-1.624129,,,,,,,,,4.30504304,,,13.97849462,000608,1066703,阳光股份,80100524,光大证券股份有限公司深圳金田路证券营业部,2018-01-29,000608.XSHE
1,12383303.5,50974382.15,12383303.5,31.1,日振幅值达到15%的前五只证券,-3.0246,-38591078.65,,,,,,,83.48082596,59.14571261,,,,,,,,,68.10810813,,,95.59748426,300487,50974382.15,蓝晓科技,80100524,光大证券股份有限公司深圳金田路证券营业部,2018-01-29,300487.XSHE
2,12383303.5,50974382.15,12383303.5,31.1,日换手率达到20%的前五只证券,-3.0246,-38591078.65,,,,,,,83.48082596,59.14571261,,,,,,,,,68.10810813,,,95.59748426,300487,50974382.15,蓝晓科技,80100524,光大证券股份有限公司深圳金田路证券营业部,2018-01-29,300487.XSHE
3,3555519,20198735.5,3555519,47.11,日振幅值达到15%的前五只证券,-4.4034,-16643216.5,,,,,,,28.715847,340.04751877,,,,,,,,,-28.97633047,,,-28.97633047,300612,20198735.5,宣亚国际,80100524,光大证券股份有限公司深圳金田路证券营业部,2018-01-29,300612.XSHE
4,3555519,20198735.5,3555519,47.11,日换手率达到20%的前五只证券,-4.4034,-16643216.5,,,,,,,28.715847,340.04751877,,,,,,,,,-28.97633047,,,-28.97633047,300612,20198735.5,宣亚国际,80100524,光大证券股份有限公司深圳金田路证券营业部,2018-01-29,300612.XSHE
5,16233725,0,16233725,11.4,日涨幅偏离值达到7%的前五只证券,10.0386,16233725,,,,,-8.7719,,-28.52664578,-61.18382755,,,,,,,,,-49.60212202,,,-45.66253575,300216,0,千山药机,80100524,光大证券股份有限公司深圳金田路证券营业部,2018-01-26,300216.XSHE
6,20143770,8888,20143770,49.28,日涨幅偏离值达到7%的前五只证券,10,20134882,,,,,-4.4034,,39.76176971,360.31716673,,,,,,,,,-25.70480929,,,-25.70480929,300612,8888,宣亚国际,80100524,光大证券股份有限公司深圳金田路证券营业部,2018-01-26,300612.XSHE
7,20143770,8888,20143770,49.28,日换手率达到20%的前五只证券,10,20134882,,,,,-4.4034,,39.76176971,360.31716673,,,,,,,,,-25.70480929,,,-25.70480929,300612,8888,宣亚国际,80100524,光大证券股份有限公司深圳金田路证券营业部,2018-01-26,300612.XSHE
8,14450874,85070,14450874,48,日涨幅偏离值达到7%的前五只证券,9.9908,14365804,,,,,-4.7917,-2.9574,50.47021943,-31.71100787,,,-11.5,,,,,,16.9020945,,,23.71134022,300561,85070,汇金科技,80100524,光大证券股份有限公司深圳金田路证券营业部,2018-01-25,300561.XSHE
9,24323,25687391.87,24323,57.12,日跌幅偏离值达到7%的前五只证券,-10.0047,-25663068.87,,,,,-2.3109,-1.4436,54.75480899,47.52066184,,,-1.5231,,,,,,49.8426023,,,61.17381489,300226,25687391.87,上海钢联,80100524,光大证券股份有限公司深圳金田路证券营业部,2018-01-25,300226.XSHE
